(8)   | 2462.550 (20:35:41.512) 3437  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(9)   | 2462.950 (20:35:41.912) 3440  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(10)  | 2463.500 (20:35:42.462) 3442  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(11)  | 2463.950 (20:35:42.912) 3444  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{11}  | 2464.050 (20:35:43.012) 3445  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 2524.500 (20:36:43.462) 3527  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(2)   | 2525.000 (20:36:43.962) 3530  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 2525.600 (20:36:44.562) 3532  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 2526.100 (20:36:45.062) 3534  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 2586.546 (20:37:45.508) 3614  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 2587.046 (20:37:46.008) 3617  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 2587.596 (20:37:46.558) 3619  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 2588.046 (20:37:47.008) 3621  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(9)   | 2648.546 (20:38:47.508) 3707  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(10)  | 2649.046 (20:38:48.008) 3710  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(11)  | 2649.646 (20:38:48.608) 3712  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{11}  | 2649.646 (20:38:48.608) 3713  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 2650.146 (20:38:49.108) 3715  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 2710.646 (20:39:49.608) 3797  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{2}   | 2710.646 (20:39:49.608) 3798  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 2711.146 (20:39:50.108) 3801  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 2711.646 (20:39:50.608) 3803  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 2712.196 (20:39:51.158) 3805  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 2772.596 (20:40:51.558) 3887  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 2773.096 (20:40:52.058) 3890  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 2773.696 (20:40:52.658) 3892  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 2774.196 (20:40:53.158) 3894  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 2834.746 (20:41:53.708) 3976  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{8}   | 2834.746 (20:41:53.708) 3977  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 2835.296 (20:41:54.258) 3980  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 2835.746 (20:41:54.708) 3982  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 2836.196 (20:41:55.158) 3984  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 2896.697 (20:42:55.659) 4069  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 2897.197 (20:42:56.159) 4072  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{5}   | 2897.346 (20:42:56.308) 4073  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 2897.697 (20:42:56.659) 4075  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(2)   | 2898.296 (20:42:57.258) 4077  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 2958.747 (20:43:57.709) 4158  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 2959.196 (20:43:58.158) 4161  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(5)   | 2959.796 (20:43:58.758) 4163  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 2960.296 (20:43:59.258) 4165  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{6}   | 2960.296 (20:43:59.258) 4166  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 3020.746 (20:44:59.708) 4249  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 3021.247 (20:45:00.209) 4252  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(3)   | 3021.846 (20:45:00.808) 4254  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 3022.346 (20:45:01.308) 4256  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{4}   | 3022.346 (20:45:01.308) 4257  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 3082.746 (20:46:01.708) 4341  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 3083.346 (20:46:02.308) 4344  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(3)   | 3083.846 (20:46:02.808) 4346  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{3}   | 3083.846 (20:46:02.808) 4347  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 3084.346 (20:46:03.308) 4349  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 3144.796 (20:47:03.758) 4433  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 3145.296 (20:47:04.258) 4436  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{3}   | 3145.396 (20:47:04.358) 4437  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 3145.896 (20:47:04.858) 4439  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 3146.296 (20:47:05.258) 4441  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 3206.846 (20:48:05.808) 4521  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 3207.346 (20:48:06.308) 4524  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{4}   | 3207.446 (20:48:06.408) 4525  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 3207.946 (20:48:06.908) 4527  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 3208.446 (20:48:07.408) 4531  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{2}   | 3208.446 (20:48:07.408) 4532  | Theepine - Freezing              | SPELL_AURA_APPLIED_DOSE [7]

(1)   | 3268.896 (20:49:07.858) 4615  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 3269.346 (20:49:08.308) 4618  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(3)   | 3269.946 (20:49:08.908) 4620  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 3270.447 (20:49:09.409) 4622  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 3330.897 (20:50:09.859) 4702  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 3331.396 (20:50:10.358) 4705  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(7)   | 3331.996 (20:50:10.958) 4707  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 3332.496 (20:50:11.458) 4709  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(9)   | 3393.046 (20:51:12.008) 4791  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{9}   | 3393.046 (20:51:12.008) 4792  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 3393.446 (20:51:12.408) 4795  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 3394.046 (20:51:13.008) 4797  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 3394.496 (20:51:13.458) 4799  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 3455.046 (20:52:14.008) 4883  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 3455.446 (20:52:14.408) 4886  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{5}   | 3455.546 (20:52:14.508) 4887  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

